year_month,region,special_supply_units,special_supply_applications,special_supply_competition_rate,general_supply_units,general_supply_applications,general_supply_competition_rate
2024-07-23,인천,669,137,(△532),1051,1327,1.26
2024-07-23,대전,0,0,0,63,81,1.29
2024-07-23,경기,880,2615,2.97,821,20914,25.47
2024-07-23,강원,1473,1005,(△468),1646,19219,11.68
2024-07-23,충남,198,2,(△196),66,62,(△4)
2024-07-23,전북,158,739,4.68,110,9393,85.39
2024-07-23,경북,29,0,(△29),38,1,(△37)
2024-07-23,경남,450,132,(△318),899,2799,3.11
2024-07-23,제주,0,0,0,40,12,(△28)
2024-08-23,서울,953,17764,18.64,1036,55881,53.94
2024-08-23,광주,335,142,(△193),613,3977,6.49
2024-08-23,대전,648,5700,8.8,705,48415,68.67
2024-08-23,경기,560,450,(△110),700,1305,1.86
2024-08-23,전북,117,17,(△100),216,1012,4.69
2024-08-23,전남,909,449,(△460),611,6700,10.97
2024-08-23,경북,16,1,(△15),19,10,(△9)
2024-08-23,경남,280,25,(△255),243,92,(△151)
2024-08-23,제주,0,0,0,204,64,(△140)
2024-09-23,서울,192,2929,15.26,117,9013,77.03
2024-09-23,부산,196,428,2.18,299,5675,18.98
2024-09-23,인천,1779,4928,2.77,1522,35599,23.39
2024-09-23,광주,502,198,(△304),1137,7110,6.25
2024-09-23,울산,220,13,(△207),182,465,2.55
2024-09-23,경기,671,704,1.05,627,6378,10.17
2024-09-23,강원,84,117,1.39,144,2317,16.09
2024-09-23,충북,228,497,2.18,416,7120,17.12
2024-09-23,전남,1109,567,(△542),794,7637,9.62
2024-09-23,경남,20,1,(△19),25,2,(△23)
2024-09-23,제주,0,0,0,93,43,(△50)
2024-10-23,서울,990,10090,10.19,1115,32295,28.96
2024-10-23,부산,509,377,(△132),558,4406,7.9
2024-10-23,인천,450,485,1.08,331,2733,8.26
2024-10-23,대전,264,309,1.17,264,2598,9.84
2024-10-23,울산,718,52,(△666),391,733,1.87
2024-10-23,경기,4592,13592,2.96,5664,163412,28.85
2024-10-23,강원,758,1652,2.18,891,24477,27.47
2024-10-23,충남,1378,628,(△750),681,3613,5.31
2024-10-23,전북,355,76,(△279),573,1862,3.25
2024-10-23,경북,413,23,(△390),972,1395,1.44
2024-11-23,서울,188,15374,81.78,278,29475,106.03
2024-11-23,부산,2011,424,(△1587),1789,3196,1.79
2024-11-23,인천,1577,287,(△1290),1731,2600,1.5
2024-11-23,대전,294,104,(△190),274,464,1.69
2024-11-23,경기,2049,4976,2.43,1674,43786,26.16
2024-11-23,강원,506,414,(△92),598,6494,10.86
2024-11-23,충북,625,5313,8.5,1532,107139,69.93
2024-11-23,전북,51,0,(△51),78,7,(△71)
2024-11-23,경북,259,142,(△117),561,3644,6.5
2024-11-23,경남,110,1,(△109),111,10,(△101)
2024-12-23,서울,431,5398,12.52,491,18889,38.47
2024-12-23,부산,175,49,(△126),203,528,2.6
2024-12-23,인천,618,1864,3.02,721,17693,24.54
2024-12-23,광주,189,13,(△176),191,55,(△136)
2024-12-23,대전,100,43,(△57),258,383,1.48
2024-12-23,울산,237,35,(△202),208,772,3.71
2024-12-23,경기,5067,3579,(△1488),4883,22072,4.52
2024-12-23,강원,100,41,(△59),128,1269,9.91
2024-12-23,충북,424,180,(△244),585,3170,5.42
2024-12-23,충남,1280,1881,1.47,1877,45962,24.49
2024-12-23,전북,0,0,0,1,16,16
2024-12-23,경북,320,74,(△246),503,1895,3.77
2024-12-23,경남,268,21,(△247),439,660,1.5
2024-12-23,제주,0,0,0,36,9,(△27)
2024-01-24,서울,115,10110,87.91,175,36889,210.79
2024-01-24,부산,277,37,(△240),261,199,(△62)
2024-01-24,인천,166,902,5.43,227,10675,47.03
2024-01-24,광주,598,81,(△517),1010,1944,1.92
2024-01-24,울산,107,4,(△103),85,58,(△27)
2024-01-24,경기,1116,423,(△693),983,1790,1.82
2024-01-24,강원,206,26,(△180),394,331,(△63)
2024-01-24,충남,360,199,(△161),299,1341,4.48
2024-01-24,전북,26,0,(△26),66,9,(△57)
2024-01-24,전남,434,16,(△418),463,268,(△195)
2024-01-24,경북,682,326,(△356),986,9166,9.3
2024-02-24,서울,99,3176,32.08,141,11833,83.92
2024-02-24,부산,322,143,(△179),106,673,6.35
2024-02-24,대구,114,1,(△113),126,19,(△107)
2024-02-24,인천,1503,454,(△1049),1957,6567,3.36
2024-02-24,광주,1436,270,(△1166),2047,5071,2.48
2024-02-24,대전,384,96,(△288),392,284,(△108)
2024-02-24,울산,473,9,(△464),419,191,(△228)
2024-02-24,경기,2915,2462,(△453),3270,12805,3.92
2024-02-24,강원,0,0,0,82,7,(△75)
2024-02-24,충북,775,553,(△222),900,4561,5.07
2024-02-24,충남,565,61,(△504),725,732,1.01
2024-02-24,전북,581,3681,6.34,644,35797,55.59
2024-02-24,경북,0,0,0,123,25,(△98)
2024-02-24,경남,117,4,(△113),115,139,1.21
2024-02-24,제주,0,0,0,653,776,1.19
2024-03-24,대구,72,103,1.43,71,1370,19.3
2024-03-24,대전,232,164,(△68),263,460,1.75
2024-03-24,충남,0,0,0,44,17929,407.48
2024-04-24,서울,55,130,2.36,59,195,3.31
2024-04-24,부산,911,219,(△692),1231,1723,1.4
2024-04-24,대구,166,9,(△157),171,489,2.86
2024-04-24,인천,985,241,(△744),848,1179,1.39
2024-04-24,광주,974,376,(△598),2582,8986,3.48
2024-04-24,대전,843,208,(△635),926,833,(△93)
2024-04-24,울산,574,653,1.14,499,5849,11.72
2024-04-24,경기,1505,2964,1.97,1306,10698,8.19
2024-04-24,강원,600,48,(△552),673,187,(△486)
2024-04-24,충남,1029,1310,1.27,1104,22404,20.29
2024-04-24,전북,422,70,(△352),737,981,1.33
2024-04-24,전남,888,920,1.04,429,3519,8.2
2024-04-24,경남,0,0,0,34,1,(△33)
2024-05-24,서울,225,6951,30.89,253,59280,234.31
2024-05-24,부산,750,473,(△277),1182,3892,3.29
2024-05-24,대구,468,47,(△421),670,477,(△193)
2024-05-24,대전,805,307,(△498),576,1208,2.1
2024-05-24,울산,101,10,(△91),97,36,(△61)
2024-05-24,경기,2686,1762,(△924),2892,11639,4.02
2024-05-24,강원,450,114,(△336),574,3071,5.35
2024-05-24,충남,375,15,(△360),448,158,(△290)
2024-05-24,전북,342,7643,22.35,490,67698,138.16
2024-05-24,경남,659,760,1.15,895,11678,13.05
2024-06-24,서울,257,12882,50.12,297,41583,140.01
2024-06-24,부산,554,156,(△398),1310,2608,1.99
2024-06-24,인천,189,165,(△24),203,1679,8.27
2024-06-24,광주,90,9,(△81),136,136,1
2024-06-24,대전,167,41,(△126),167,110,(△57)
2024-06-24,울산,172,3,(△169),124,5,(△119)
2024-06-24,경기,2824,76803,27.2,3952,296236,74.96
2024-06-24,강원,303,23,(△280),546,354,(△192)
2024-06-24,충북,1073,4303,4.01,670,28673,42.8
2024-06-24,충남,0,0,0,183,3,(△180)
2024-06-24,전남,366,479,1.31,686,8373,12.21
2024-07-24,서울,667,58813,88.18,803,139046,173.16
2024-07-24,인천,1081,2195,2.03,1592,6268,3.94
2024-07-24,대전,1198,2632,2.2,2049,30679,14.97
2024-07-24,경기,861,7745,9,661,36433,55.12
2024-07-24,강원,345,173,(△172),413,884,2.14
2024-07-24,전북,97,8,(△89),178,23,(△155)
2024-07-24,경북,264,34,(△230),367,891,2.43
2024-07-24,경남,0,0,0,38,5,(△33)
2024-08-24,서울,910,37013,40.67,968,79626,82.26
2024-08-24,부산,0,0,0,9,99,11
2024-08-24,인천,222,142,(△80),500,4203,8.41
2024-08-24,광주,39,10,(△29),70,87,1.24
2024-08-24,울산,416,113,(△303),387,909,2.35
2024-08-24,경기,2282,1195,(△1087),2743,6093,2.22
2024-08-24,충남,216,330,1.53,222,3795,17.09
2024-08-24,경남,345,14,(△331),399,75,(△324)
2024-08-24,제주,0,0,0,1260,5703,4.53
2024-09-24,서울,181,37766,208.65,243,96989,399.13
2024-09-24,부산,588,620,1.05,575,5294,9.21
2024-09-24,대구,552,1134,2.05,586,8116,13.85
2024-09-24,인천,761,2204,2.9,973,8137,8.36
2024-09-24,경기,3050,12141,3.98,3296,39966,12.13
2024-09-24,강원,499,377,(△122),522,6608,12.66
2024-09-24,충북,129,36,(△93),134,172,1.28
2024-10-24,서울,306,39700,129.74,336,83000,247.02
2024-10-24,부산,162,33,(△129),147,320,2.18
2024-10-24,인천,889,3231,3.63,1195,21248,17.78
2024-10-24,대전,549,465,(△84),657,2810,4.28
2024-10-24,울산,269,4,(△265),212,60,(△152)
2024-10-24,경기,4216,2678,(△1538),4087,12505,3.06
2024-10-24,강원,255,49,(△206),232,384,1.66
2024-10-24,충남,485,737,1.52,493,11400,23.12
2024-10-24,전북,44,1,(△43),91,430,4.73
2024-10-24,전남,8,1,(△7),62,83,1.34
2024-11-24,서울,1036,41865,40.41,1932,88175,45.64
2024-11-24,대구,364,6,(△358),626,52,(△574)
2024-11-24,인천,549,205,(△344),632,641,1.01
2024-11-24,대전,853,915,1.07,1627,14719,9.05
2024-11-24,울산,902,214,(△688),727,2412,3.32
2024-11-24,경기,2348,2603,1.11,2381,9867,4.14
2024-11-24,충북,578,2430,4.2,425,14974,35.23
2024-11-24,충남,804,741,(△63),1165,11370,9.76
2024-11-24,전북,101,103,1.02,98,933,9.52
